claim_id,customer_id,make,accident_area,sex,marital_status,age,fault,policy_type,vehicle_category,vehicle_price_bucket,deductible,driver_rating,days_policy_accident,days_policy_claim,past_number_of_claims,age_of_vehicle,age_of_policyholder,police_report_filed,witness_present,agent_type,number_of_suppliments,address_change_claim,number_of_cars,base_policy,incident_period,fraud_reported
2739,2739,Ford,Rural,Female,Single,40,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,400,2,more than 30,more than 30,none,4 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,1994-Jun,0
2740,2740,Accura,Rural,Female,Married,38,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,1994-Jul,0
2741,2741,Pontiac,Rural,Female,Single,22,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,Yes,No,External,none,no change,1 vehicle,Liability,1994-Jul,0
2742,2742,Toyota,Urban,Male,Single,48,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,1994-Oct,0
2743,2743,Toyota,Urban,Male,Single,24,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,Liability,1994-Nov,0
2744,2744,Pontiac,Rural,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,2,more than 30,more than 30,1,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Nov,0
2745,2745,Mazda,Urban,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Oct,0
2746,2746,Toyota,Urban,Male,Married,47,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Collision,1994-Jul,0
2747,2747,Honda,Urban,Female,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,4,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Jul,0
2748,2748,Toyota,Urban,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,3 to 4,Collision,1994-Jun,0
2749,2749,Mazda,Urban,Female,Married,46,Third Party,Sedan - Liability,Sport,20000 to 29000,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,Yes,Yes,Internal,none,no change,1 vehicle,Liability,1994-Mar,0
2750,2750,Toyota,Urban,Female,Single,18,Policy Holder,Sedan - All Perils,Sedan,less than 20000,400,4,more than 30,more than 30,2 to 4,4 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,All Perils,1994-Mar,0
2751,2751,Honda,Urban,Male,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,1994-Apr,0
2752,2752,Toyota,Urban,Male,Single,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,Collision,1994-Mar,0
2753,2753,Toyota,Urban,Male,Married,29,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,1994-Sep,0
2754,2754,Honda,Urban,Male,Single,36,Third Party,Sedan - Liability,Sport,more than 69000,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Oct,0
2755,2755,Pontiac,Urban,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,500,4,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,3 to 5,2 to 3 years,1 vehicle,Liability,1994-May,0
2756,2756,Toyota,Urban,Male,Married,57,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils,1994-May,0
2757,2757,Chevrolet,Urban,Female,Divorced,40,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,1994-Apr,1
2758,2758,Toyota,Urban,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,1994-Apr,0
2759,2759,Toyota,Urban,Female,Married,53,Policy Holder,Sedan - All Perils,Sedan,more than 69000,400,3,more than 30,more than 30,1,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,All Perils,1994-Mar,0
2760,2760,Pontiac,Rural,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,1994-Nov,0
2761,2761,Mazda,Urban,Male,Married,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Dec,0
2762,2762,Honda,Urban,Male,Married,51,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Jan,0
2763,2763,Mazda,Urban,Male,Married,29,Third Party,Sport - Collision,Sport,more than 69000,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,1994-Mar,0
2764,2764,Pontiac,Rural,Male,Married,63,Third Party,Sedan - All Perils,Sedan,less than 20000,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils,1994-Mar,0
2765,2765,Honda,Urban,Female,Married,67,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,2,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,Collision,1994-Feb,0
2766,2766,Ford,Urban,Male,Married,56,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,400,2,more than 30,more than 30,none,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Jan,0
2767,2767,Toyota,Urban,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,less than 20000,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Sep,0
2768,2768,Honda,Urban,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Aug,0
2769,2769,Mazda,Urban,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Aug,0
2770,2770,Honda,Urban,Male,Single,25,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,1,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,All Perils,1994-Nov,0
2771,2771,Mazda,Urban,Male,Married,26,Policy Holder,Sport - Collision,Sport,more than 69000,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,1994-Dec,0
2772,2772,Mazda,Urban,Male,Single,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,1994-May,0
2773,2773,Honda,Urban,Male,Married,35,Policy Holder,Sedan - Liability,Sport,more than 69000,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,Liability,1994-Jun,0
2774,2774,Pontiac,Urban,Male,Married,58,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,Liability,1994-Jul,0
2775,2775,Toyota,Urban,Male,Married,62,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils,1994-Aug,0
2776,2776,Toyota,Rural,Female,Married,50,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,All Perils,1994-Aug,0
2777,2777,Mazda,Urban,Male,Married,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,1994-Sep,0
2778,2778,Toyota,Urban,Female,Married,50,Policy Holder,Sedan - Liability,Sport,less than 20000,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Oct,0
2779,2779,Pontiac,Urban,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Nov,0
2780,2780,Chevrolet,Urban,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Nov,0
2781,2781,Pontiac,Urban,Female,Single,45,Policy Holder,Sedan - Liability,Sport,less than 20000,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability,1994-Nov,0
2782,2782,Pontiac,Urban,Male,Single,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Nov,0
2783,2783,Honda,Urban,Male,Married,26,Third Party,Sedan - Liability,Sport,20000 to 29000,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,1994-Nov,0
2784,2784,Chevrolet,Urban,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,1994-Dec,0
2785,2785,VW,Urban,Male,Married,34,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,1994-Jun,0
2786,2786,Toyota,Urban,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Aug,0
2787,2787,Toyota,Urban,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability,1994-Aug,0
2788,2788,Pontiac,Urban,Male,Single,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,3,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,3 to 5,no change,1 vehicle,Collision,1994-Aug,0
2789,2789,Saturn,Urban,Male,Single,25,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,4,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,3 to 4,All Perils,1994-Apr,1
2790,2790,Toyota,Urban,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,1994-Apr,1
2791,2791,Honda,Urban,Male,Single,32,Policy Holder,Sport - Collision,Sport,more than 69000,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,1994-Aug,0
2792,2792,Pontiac,Urban,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,1994-Sep,0
2793,2793,Pontiac,Urban,Male,Married,21,Third Party,Sedan - Collision,Sedan,30000 to 39000,400,4,more than 30,more than 30,1,4 years,26 to 30,No,No,External,none,no change,1 vehicle,Collision,1994-Sep,0
2794,2794,Ford,Urban,Male,Single,34,Policy Holder,Utility - All Perils,Utility,more than 69000,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,All Perils,1994-Sep,0
2795,2795,Pontiac,Urban,Male,Married,68,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,Liability,1994-Nov,0
2796,2796,Chevrolet,Urban,Male,Single,34,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,1994-Apr,0
2797,2797,Honda,Urban,Male,Married,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Nov,0
2798,2798,Toyota,Urban,Male,Married,49,Policy Holder,Sedan - Liability,Sport,40000 to 59000,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,none,no change,1 vehicle,Liability,1994-Dec,0
2799,2799,Honda,Urban,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,1994-Dec,0
2800,2800,Pontiac,Urban,Male,Married,49,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,1994-Dec,0
2801,2801,Pontiac,Urban,Male,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,1994-Dec,0
2802,2802,Mazda,Urban,Male,Married,29,Third Party,Sport - Collision,Sport,more than 69000,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Dec,0
2803,2803,Chevrolet,Rural,Male,Married,79,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,1,more than 30,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Apr,0
2804,2804,Honda,Urban,Male,Married,59,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability,1994-Oct,0
2805,2805,Pontiac,Urban,Male,Single,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,1994-Oct,0
2806,2806,Ford,Urban,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,500,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,2 to 3 years,1 vehicle,All Perils,1994-Apr,1
2807,2807,Chevrolet,Urban,Female,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,1994-Sep,0
2808,2808,Pontiac,Urban,Male,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Sep,0
2809,2809,Accura,Rural,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,1994-Apr,1
2810,2810,Accura,Urban,Male,Single,43,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Aug,0
2811,2811,Chevrolet,Urban,Female,Single,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,1994-Aug,0
2812,2812,Honda,Urban,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,less than 20000,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,All Perils,1994-Aug,0
2813,2813,Toyota,Urban,Female,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,1994-Aug,0
2814,2814,Chevrolet,Urban,Male,Married,47,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,1994-Aug,0
2815,2815,Mazda,Urban,Female,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,Liability,1994-Aug,0
2816,2816,Honda,Urban,Female,Single,28,Third Party,Sport - Collision,Sport,more than 69000,400,2,more than 30,more than 30,none,5 years,31 to 35,No,Yes,External,none,no change,1 vehicle,Collision,1994-Aug,0
2817,2817,Accura,Urban,Male,Married,54,Policy Holder,Sedan - Liability,Sport,more than 69000,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Liability,1994-Aug,0
2818,2818,Chevrolet,Urban,Female,Married,37,Policy Holder,Sedan - All Perils,Sedan,more than 69000,400,2,more than 30,more than 30,1,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,All Perils,1994-Aug,0
2819,2819,Pontiac,Urban,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,1994-Dec,0
2820,2820,Pontiac,Urban,Male,Single,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,1994-Dec,0
2821,2821,Chevrolet,Urban,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,more than 69000,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,Collision,1994-Apr,1
2822,2822,Pontiac,Urban,Female,Married,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,700,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,1 year,1 vehicle,All Perils,1994-Apr,1
2823,2823,Toyota,Urban,Male,Married,44,Policy Holder,Sedan - Liability,Sport,more than 69000,400,4,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,1994-Dec,0
2824,2824,Toyota,Urban,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,1994-Dec,0
2825,2825,Pontiac,Urban,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,1994-Nov,0
2826,2826,Pontiac,Rural,Male,Single,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,1994-Nov,0
2827,2827,Saab,Urban,Male,Single,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,1994-Nov,0
2828,2828,VW,Urban,Female,Single,23,Policy Holder,Sedan - Liability,Sport,less than 20000,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,Liability,1994-Oct,0
2829,2829,Chevrolet,Urban,Male,Married,59,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability,1994-Sep,0
2830,2830,Chevrolet,Urban,Male,Married,30,Policy Holder,Sedan - Liability,Sport,more than 69000,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,3 to 4,Liability,1994-Sep,0
2831,2831,Pontiac,Urban,Male,Single,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Sep,0
2832,2832,Toyota,Urban,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Sep,0
2833,2833,Accura,Urban,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,400,2,15 to 30,15 to 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,1994-Aug,0
2834,2834,Honda,Urban,Male,Married,48,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Jul,0
2835,2835,Honda,Urban,Female,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,1994-Jul,0
2836,2836,Mazda,Urban,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,2,more than 30,more than 30,none,6 years,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,Collision,1994-Jul,0
2837,2837,VW,Urban,Male,Married,56,Policy Holder,Sedan - Liability,Sport,40000 to 59000,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability,1994-Jul,0
2838,2838,Saab,Urban,Female,Married,80,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,1,more than 30,more than 30,2 to 4,6 years,over 65,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Jun,0
2839,2839,Toyota,Urban,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,1994-Nov,0
2840,2840,Pontiac,Urban,Male,Married,56,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Jan,0
2841,2841,Toyota,Urban,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,5 to 8,All Perils,1994-Feb,0
2842,2842,Chevrolet,Urban,Male,Single,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,1994-Feb,0
2843,2843,Pontiac,Urban,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,1994-Feb,0
2844,2844,Chevrolet,Urban,Male,Single,45,Policy Holder,Sedan - Liability,Sport,40000 to 59000,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,1994-Feb,0
2845,2845,Toyota,Urban,Male,Married,29,Third Party,Sedan - Liability,Sport,20000 to 29000,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,1994-Jan,0
2846,2846,Chevrolet,Urban,Male,Single,30,Third Party,Sedan - Collision,Sedan,more than 69000,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Jan,0
2847,2847,Mazda,Urban,Male,Single,22,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,Collision,1994-Feb,0
2848,2848,Toyota,Urban,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Feb,0
2849,2849,VW,Urban,Male,Married,54,Policy Holder,Sedan - Liability,Sport,40000 to 59000,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Liability,1994-Feb,0
2850,2850,Pontiac,Urban,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,1994-Dec,0
2851,2851,Accura,Rural,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,more than 69000,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,1994-Nov,0
2852,2852,Honda,Urban,Male,Married,51,Policy Holder,Sport - Collision,Sport,more than 69000,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,1994-Apr,1
2853,2853,Ford,Urban,Male,Married,51,Policy Holder,Sedan - Liability,Sport,more than 69000,700,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Mar,0
2854,2854,Toyota,Urban,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,1994-Mar,0
2855,2855,Mazda,Urban,Female,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Mar,0
2856,2856,Toyota,Urban,Male,Married,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,1994-Apr,0
2857,2857,Pontiac,Urban,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,500,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,2 to 3 years,2 vehicles,All Perils,1994-Apr,1
2858,2858,Pontiac,Urban,Male,Single,46,Third Party,Sedan - All Perils,Sedan,20000 to 29000,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,1994-Apr,0
2859,2859,Pontiac,Urban,Female,Married,36,Policy Holder,Sedan - Collision,Sedan,more than 69000,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Apr,0
2860,2860,Toyota,Urban,Female,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability,1994-Oct,0
